date,week,year,month,day,volume,close,vwap,trade_count
2021-05-17,20,2021,May,Monday,32929060,576.83,574.200066,836641
2021-05-18,20,2021,May,Tuesday,37297582,577.87,581.985066,830027
2021-05-19,20,2021,May,Wednesday,40136803,563.46,556.860304,1018753
2021-05-20,20,2021,May,Thursday,31433939,586.78,580.273927,663628
2021-05-21,20,2021,May,Friday,26785299,580.88,587.46407,585746
2021-05-24,21,2021,May,Monday,35547930,606.44,599.580749,728803
2021-05-25,21,2021,May,Tuesday,28550290,604.69,603.039304,620980
2021-05-26,21,2021,May,Wednesday,29212889,619.13,616.960733,650731
2021-05-27,21,2021,May,Thursday,28282417,630.85,623.767338,592431
2021-05-28,21,2021,May,Friday,23260022,625.22,628.735999,539986
2021-06-01,22,2021,June,Tuesday,18452166,623.9,626.306041,445686
2021-06-02,22,2021,June,Wednesday,23743792,605.12,607.546086,681201
2021-06-03,22,2021,June,Thursday,30647938,572.84,588.252087,880543
2021-06-04,22,2021,June,Friday,24496050,599.05,593.676556,562999
2021-06-07,23,2021,June,Monday,23005783,605.13,593.055772,605314
2021-06-08,23,2021,June,Tuesday,26777011,603.59,606.652641,584232
2021-06-09,23,2021,June,Wednesday,16914012,598.78,603.047503,384600
2021-06-10,23,2021,June,Thursday,24293275,610.12,610.563758,507426
2021-06-11,23,2021,June,Friday,16535293,609.89,607.503543,378519
2021-06-14,24,2021,June,Monday,20959949,617.69,617.941391,460865
2021-06-15,24,2021,June,Tuesday,18168954,599.36,605.562137,438551
2021-06-16,24,2021,June,Wednesday,22851893,604.87,601.197614,476656
2021-06-17,24,2021,June,Thursday,23498871,616.6,614.848569,504011
2021-06-18,24,2021,June,Friday,26192084,623.31,620.402501,500949
2021-06-21,25,2021,June,Monday,25222987,620.83,620.909562,490854
2021-06-22,25,2021,June,Tuesday,19694588,623.71,622.989879,376499
2021-06-23,25,2021,June,Wednesday,31726538,656.57,650.423478,675885
2021-06-24,25,2021,June,Thursday,46633877,679.82,684.379464,979617
2021-06-25,25,2021,June,Friday,33490338,671.87,678.665669,604893
2021-06-28,26,2021,June,Monday,22042075,688.72,686.483151,476432
2021-06-29,26,2021,June,Tuesday,17797370,680.76,680.688538,392656
2021-06-30,26,2021,June,Wednesday,19519239,679.7,684.844162,424580
2021-07-01,26,2021,July,Thursday,18942491,677.92,679.127962,401598
2021-07-02,26,2021,July,Friday,27479899,678.9,683.67751,556873
2021-07-06,27,2021,July,Tuesday,23707724,659.58,661.719036,609046
2021-07-07,27,2021,July,Wednesday,19116741,644.65,647.771708,434572
2021-07-08,27,2021,July,Thursday,23321697,652.81,640.671703,474922
2021-07-09,27,2021,July,Friday,18895294,656.95,653.748828,364589
2021-07-12,28,2021,July,Monday,26491509,685.7,680.237343,541587
2021-07-13,28,2021,July,Tuesday,21289149,668.54,677.393179,437105
2021-07-14,28,2021,July,Wednesday,21979326,653.38,665.531321,432554
2021-07-15,28,2021,July,Thursday,20556034,650.6,652.111502,431615
2021-07-16,28,2021,July,Friday,16850121,644.22,646.852817,333345
2021-07-19,29,2021,July,Monday,21935946,646.22,636.361051,482232
2021-07-20,29,2021,July,Tuesday,15998009,660.5,650.973443,340666
2021-07-21,29,2021,July,Wednesday,14333534,655.29,657.284493,320579
2021-07-22,29,2021,July,Thursday,15418353,649.26,652.218397,322069
2021-07-23,29,2021,July,Friday,14928553,643.38,642.729067,343590
2021-07-26,30,2021,July,Monday,25851515,657.62,659.419561,548241
2021-07-27,30,2021,July,Tuesday,33429295,644.78,642.557045,739730
2021-07-28,30,2021,July,Wednesday,16308995,646.98,647.072781,364633
2021-07-29,30,2021,July,Thursday,30890211,677.35,673.12892,636940
2021-07-30,30,2021,July,Friday,30074532,687.2,686.906469,639424
2021-08-02,31,2021,August,Monday,34661220,709.67,715.748562,817721
2021-08-03,31,2021,August,Tuesday,22176617,709.74,710.444576,498439
2021-08-04,31,2021,August,Wednesday,17397896,710.92,714.260888,409212
2021-08-05,31,2021,August,Thursday,13231098,714.63,715.882775,324935
2021-08-06,31,2021,August,Friday,16033021,699.1,703.670871,409025
2021-08-09,32,2021,August,Monday,15569679,713.76,713.981517,339987
2021-08-10,32,2021,August,Tuesday,14088137,709.99,709.16136,321149
2021-08-11,32,2021,August,Wednesday,10174556,707.82,708.540322,256403
2021-08-12,32,2021,August,Thursday,18124945,722.25,714.454461,398942
2021-08-13,32,2021,August,Friday,17678903,717.17,720.133258,359933
2021-08-16,33,2021,August,Monday,23934709,686.17,687.46127,625359
2021-08-17,33,2021,August,Tuesday,24265619,665.71,661.654275,620030
2021-08-18,33,2021,August,Wednesday,20834284,688.99,687.198359,485568
2021-08-19,33,2021,August,Thursday,14631401,673.47,676.655445,344518
2021-08-20,33,2021,August,Friday,15480461,680.26,680.095621,334655
2021-08-23,34,2021,August,Monday,20917215,706.3,703.114159,461268
2021-08-24,34,2021,August,Tuesday,13331889,708.49,708.241435,309482
2021-08-25,34,2021,August,Wednesday,13140733,711.2,711.715709,292731
2021-08-26,34,2021,August,Thursday,13535663,701.16,705.476627,321320
2021-08-27,34,2021,August,Friday,14226833,711.92,710.595979,317663
2021-08-30,35,2021,August,Monday,18937972,730.91,725.203472,468649
2021-08-31,35,2021,August,Tuesday,22964324,735.72,734.760041,421801
2021-09-01,35,2021,September,Wednesday,13612193,734.09,736.507705,322500
2021-09-02,35,2021,September,Thursday,13153084,732.39,735.361716,310317
2021-09-03,35,2021,September,Friday,15533677,733.57,729.434632,355980
2021-09-07,36,2021,September,Tuesday,20416032,752.92,752.627902,499482
